date,users,pageviews
2011-09-22,0,35726
2011-09-23,0,16220
2011-09-24,0,2873
2011-09-25,0,7003
2011-09-26,0,7227
2011-09-27,0,2035
2011-09-28,0,1141
2011-09-29,0,1125
2011-09-30,0,945
2011-10-01,0,898
2011-10-02,0,900
2011-10-03,0,710
2011-10-04,0,989
2011-10-05,0,1238
2011-10-06,0,1040
2011-10-07,0,816
2011-10-08,0,608
2011-10-09,0,638
2011-10-10,0,595
2011-10-11,0,654
2011-10-12,0,756
2011-10-13,0,525
2011-10-14,0,533
2011-10-15,0,424
2011-10-16,0,515
2011-10-17,0,674
2011-10-18,0,653
2011-10-19,0,607
2011-10-20,0,540
2011-10-21,0,453
2011-10-22,0,233
2011-10-23,0,267
2011-10-24,0,626
2011-10-25,0,646
2011-10-26,0,630
2011-10-27,0,514
2011-10-28,0,854
2011-10-29,0,506
2011-10-30,0,507
2011-10-31,0,562
2011-11-01,0,444
2011-11-02,0,657
2011-11-03,0,772
2011-11-04,0,512
2011-11-05,0,443
2011-11-06,0,446
2011-11-07,0,506
2011-11-08,0,721
2011-11-09,0,581
2011-11-10,0,620
2011-11-11,0,303
2011-11-12,0,273
2011-11-13,0,220
2011-11-14,0,715
2011-11-15,0,424
2011-11-16,0,520
2011-11-17,0,443
2011-11-18,0,373
2011-11-19,0,288
2011-11-20,0,275
2011-11-21,0,535
2011-11-22,0,721
2011-11-23,0,539
2011-11-24,0,487
2011-11-25,0,583
2011-11-26,0,270
2011-11-27,0,350
2011-11-28,0,478
2011-11-29,0,736
2011-11-30,0,549
2011-12-01,0,333
2011-12-02,0,654
2011-12-03,0,288
2011-12-04,0,346
2011-12-05,0,518
2011-12-06,0,584
2011-12-07,0,717
2011-12-08,0,603
2011-12-09,0,573
2011-12-10,0,376
2011-12-11,0,432
2011-12-12,0,791
2011-12-13,0,565
2011-12-14,0,9
2011-12-15,0,797
2011-12-16,0,402
2011-12-17,0,287
2011-12-18,0,551
2011-12-19,0,802
2011-12-20,0,549
2011-12-21,0,885
2011-12-22,0,614
2011-12-23,0,464
2011-12-24,0,296
2011-12-25,0,156
2011-12-26,0,350
2011-12-27,0,574
2011-12-28,0,432
2011-12-29,0,437
2011-12-30,0,494
2011-12-31,0,347
2012-01-01,0,197
2012-01-02,0,639
2012-01-03,0,962
2012-01-04,0,1049
2012-01-05,0,750
2012-01-06,0,605
2012-01-07,0,372
2012-01-08,0,367
2012-01-09,0,1248
2012-01-10,0,1102
2012-01-11,0,1207
2012-01-12,0,1007
2012-01-13,0,859
2012-01-14,0,531
2012-01-15,0,501
2012-01-16,0,847
2012-01-17,0,677
2012-01-18,0,665
2012-01-19,0,672
2012-01-20,0,712
2012-01-21,0,445
2012-01-22,0,402
2012-01-23,0,937
2012-01-24,0,934
2012-01-25,0,680
2012-01-26,0,530
2012-01-27,0,569
2012-01-28,0,325
2012-01-29,0,459
2012-01-30,0,662
2012-01-31,0,551
2012-02-01,0,653
2012-02-02,0,494
2012-02-03,0,478
2012-02-04,0,294
2012-02-05,0,240
2012-02-06,0,790
2012-02-07,0,984
2012-02-08,0,768
2012-02-09,0,497
2012-02-10,0,570
2012-02-11,0,141
2012-02-12,0,305
2012-02-13,0,668
2012-02-14,0,537
2012-02-15,0,530
2012-02-16,0,517
2012-02-17,0,547
2012-02-18,0,384
2012-02-19,0,391
2012-02-20,0,523
2012-02-21,0,516
2012-02-22,0,487
2012-02-23,0,509
2012-02-24,0,894
2012-02-25,0,312
2012-02-26,0,292
2012-02-27,0,682
2012-02-28,0,453
2012-02-29,0,435
2012-03-01,0,246
2012-03-02,0,140
2012-03-03,0,371
2012-03-04,0,239
2012-03-05,0,504
2012-03-06,0,446
2012-03-07,0,465
2012-03-08,0,325
2012-03-09,0,304
2012-03-10,0,253
2012-03-11,0,150
2012-03-12,0,380
2012-03-13,0,320
2012-03-14,0,466
2012-03-15,0,318
2012-03-16,0,257
2012-03-17,0,162
2012-03-18,0,212
2012-03-19,0,301
2012-03-20,0,575
2012-03-21,0,339
2012-03-22,0,477
2012-03-23,0,307
2012-03-24,0,169
2012-03-25,0,144
2012-03-26,0,424
2012-03-27,0,358
2012-03-28,0,325
2012-03-29,0,439
2012-03-30,0,320
2012-03-31,0,129
2012-04-01,0,236
2012-04-02,0,495
2012-04-03,0,375
2012-04-04,0,344
2012-04-05,0,421
2012-04-06,0,285
2012-04-07,0,200
2012-04-08,0,102
2012-04-09,0,174
2012-04-10,0,328
2012-04-11,0,305
2012-04-12,0,322
2012-04-13,0,265
2012-04-14,0,234
2012-04-15,0,191
2012-04-16,0,428
2012-04-17,0,467
2012-04-18,0,366
2012-04-19,0,318
2012-04-20,0,254
2012-04-21,0,214
2012-04-22,0,149
2012-04-23,0,400
2012-04-24,0,401
2012-04-25,0,356
2012-04-26,0,275
2012-04-27,0,270
2012-04-28,0,244
2012-04-29,0,174
2012-04-30,0,321
2012-05-01,0,182
2012-05-02,0,385
2012-05-03,0,240
2012-05-04,0,266
2012-05-05,0,197
2012-05-06,0,177
2012-05-07,0,369
2012-05-08,0,429
2012-05-09,0,479
2012-05-10,0,561
2012-05-11,0,402
2012-05-12,0,284
2012-05-13,0,256
2012-05-14,0,478
2012-05-15,0,310
