date,users,pageviews
2009-09-02,0,24
2009-09-03,0,5
2009-09-04,0,2
2009-09-05,0,38
2009-09-06,0,15
2009-09-07,0,20
2009-09-08,0,13
2009-09-09,0,462
2009-09-10,0,585
2009-09-11,0,171
2009-09-12,0,180
2009-09-13,0,140
2009-09-14,0,880
2009-09-15,0,753
2009-09-16,0,267
2009-09-17,0,239
2009-09-18,0,131
2009-09-19,0,51
2009-09-20,0,99
2009-09-21,0,61
2009-09-22,0,60
2009-09-23,0,117
2009-09-24,0,83
2009-09-25,0,136
2009-09-26,0,98
2009-09-27,0,39
2009-09-28,0,60
2009-09-29,0,43
2009-09-30,0,44
2009-10-01,0,50
2009-10-02,0,51
2009-10-03,0,21
2009-10-04,0,24
2009-10-05,0,40
2009-10-06,0,27
2009-10-07,0,31
2009-10-08,0,31
2009-10-09,0,21
2009-10-10,0,16
2009-10-11,0,19
2009-10-12,0,36
2009-10-13,0,22
2009-10-14,0,33
2009-10-15,0,39
2009-10-16,0,32
2009-10-17,0,23
2009-10-18,0,9
2009-10-19,0,26
2009-10-20,0,27
2009-10-21,0,27
2009-10-22,0,27
2009-10-23,0,37
2009-10-24,0,25
2009-10-25,0,14
2009-10-26,0,720
2009-10-27,0,267
2009-10-28,0,88
2009-10-29,0,61
2009-10-30,0,51
2009-10-31,0,77
2009-11-01,0,45
2009-11-02,0,68
2009-11-03,0,65
2009-11-04,0,74
2009-11-05,0,105
2009-11-06,0,89
2009-11-07,0,69
2009-11-08,0,108
2009-11-09,0,89
2009-11-10,0,91
2009-11-11,0,87
2009-11-12,0,75
2009-11-13,0,113
2009-11-14,0,50
2009-11-15,0,61
2009-11-16,0,179
2009-11-17,0,113
2009-11-18,0,101
2009-11-19,0,205
2009-11-20,0,123
2009-11-21,0,130
2009-11-22,0,76
2009-11-23,0,124
2009-11-24,0,83
2009-11-25,0,148
2009-11-26,0,81
2009-11-27,0,73
2009-11-28,0,44
2009-11-29,0,29
2009-11-30,0,150
2009-12-01,0,88
2009-12-02,0,61
2009-12-03,0,47
2009-12-04,0,122
2009-12-05,0,51
2009-12-06,0,51
2009-12-07,0,82
2009-12-08,0,677
2009-12-09,0,190
2009-12-10,0,127
2009-12-11,0,138
2009-12-12,0,263
2009-12-13,0,196
2009-12-14,0,1311
2009-12-15,0,776
2009-12-16,0,354
2009-12-17,0,642
2009-12-18,0,184
2009-12-19,0,133
2009-12-20,0,140
2009-12-21,0,188
2009-12-22,0,213
2009-12-23,0,335
2009-12-24,0,63
2009-12-25,0,83
2009-12-26,0,46
2009-12-27,0,70
2009-12-28,0,85
2009-12-29,0,77
2009-12-30,0,107
2009-12-31,0,89
2010-01-01,0,22
2010-01-02,0,70
2010-01-03,0,65
2010-01-04,0,129
2010-01-05,0,86
2010-01-06,0,105
2010-01-07,0,376
2010-01-08,0,129
2010-01-09,0,82
2010-01-10,0,70
2010-01-11,0,605
2010-01-12,0,564
2010-01-13,0,480
2010-01-14,0,383
2010-01-15,0,552
2010-01-16,0,351
2010-01-17,0,445
2010-01-18,0,321
2010-01-19,0,242
2010-01-20,0,550
2010-01-21,0,251
2010-01-22,0,176
2010-01-23,0,129
2010-01-24,0,111
2010-01-25,0,292
2010-01-26,0,332
2010-01-27,0,205
2010-01-28,0,167
2010-01-29,0,140
2010-01-30,0,55
2010-01-31,0,103
2010-02-01,0,225
2010-02-02,0,146
2010-02-03,0,198
2010-02-04,0,107
2010-02-05,0,94
2010-02-06,0,47
2010-02-07,0,56
2010-02-08,0,159
2010-02-09,0,421
2010-02-10,0,372
2010-02-11,0,419
2010-02-12,0,205
2010-02-13,0,83
2010-02-14,0,145
2010-02-15,0,195
2010-02-16,0,164
2010-02-17,0,134
2010-02-18,0,673
2010-02-19,0,220
