Day Index,Users,Pageviews
2009-14-09,13069,170309
2009-15-09,10910,128512
2009-16-09,6070,69112
2009-17-09,7613,105703
2009-18-09,3404,40542
2009-19-09,1501,18134
2009-20-09,1749,17860
2009-21-09,1723,18437
2009-22-09,1448,13513
2009-23-09,1471,18087
2009-24-09,1768,20206
2009-25-09,2155,23421
2009-26-09,2276,26473
2009-27-09,1545,12749
2009-28-09,1712,16325
2009-29-09,1084,9565
2009-30-09,895,8523
2009-01-10,958,8606
2009-02-10,1018,9202
2009-03-10,491,5058
2009-04-10,508,4090
2009-05-10,825,6434
2009-06-10,872,4815
2009-07-10,1520,12477
2009-08-10,901,6612
2009-09-10,707,5259
2009-10-10,505,3867
2009-11-10,632,6136
2009-12-10,779,5364
2009-13-10,772,5378
2009-14-10,669,4285
2009-15-10,720,4385
2009-16-10,621,4048
2009-17-10,368,2731
2009-18-10,431,3639
2009-19-10,677,3773
2009-20-10,603,4459
2009-21-10,745,4533
2009-22-10,765,6303
2009-23-10,953,9483
2009-24-10,782,5656
2009-25-10,735,5417
2009-26-10,1011,7585
2009-27-10,1045,7495
2009-28-10,699,4925
2009-29-10,699,4810
2009-30-10,520,4085
2009-31-10,310,2722
2009-01-11,396,4027
2009-02-11,697,3668
2009-03-11,797,5925
2009-04-11,780,5135
2009-05-11,804,4537
2009-06-11,702,5457
2009-07-11,477,3594
2009-08-11,526,3870
2009-09-11,690,4157
2009-10-11,569,3397
2009-11-11,620,3635
2009-12-11,846,5237
2009-13-11,948,6261
2009-14-11,605,4456
2009-15-11,656,4332
2009-16-11,989,5967
2009-17-11,785,5092
2009-18-11,673,3667
2009-19-11,731,3660
2009-20-11,667,3089
2009-21-11,386,2481
2009-22-11,563,2861
2009-23-11,780,3331
2009-24-11,824,3968
2009-25-11,865,4429
2009-26-11,725,3392
2009-27-11,556,3012
2009-28-11,530,2447
2009-29-11,709,2453
2009-30-11,788,3333
2009-01-12,648,3161
2009-02-12,739,3663
2009-03-12,709,3691
2009-04-12,871,6986
2009-05-12,821,8160
2009-06-12,553,2503
2009-07-12,846,3608
2009-08-12,1405,9765
2009-09-12,888,5493
