Day Index,Users,Pageviews
2011-22-09,4712,35726
2011-23-09,2322,16220
2011-24-09,454,2873
2011-25-09,941,7003
2011-26-09,1182,7227
2011-27-09,387,2035
2011-28-09,234,1141
2011-29-09,224,1125
2011-30-09,192,945
2011-01-10,158,898
2011-02-10,142,900
2011-03-10,176,710
2011-04-10,198,989
2011-05-10,236,1238
2011-06-10,218,1040
2011-07-10,181,816
2011-08-10,126,608
2011-09-10,127,638
2011-10-10,184,595
2011-11-10,195,654
2011-12-10,177,756
2011-13-10,174,525
2011-14-10,175,533
2011-15-10,85,424
2011-16-10,136,515
2011-17-10,166,674
2011-18-10,156,653
2011-19-10,185,607
2011-20-10,156,540
2011-21-10,133,453
2011-22-10,69,233
2011-23-10,90,267
2011-24-10,181,626
2011-25-10,171,646
2011-26-10,188,630
2011-27-10,188,514
2011-28-10,208,854
2011-29-10,103,506
2011-30-10,111,507
2011-31-10,148,562
2011-01-11,127,444
2011-02-11,163,657
2011-03-11,182,772
2011-04-11,163,512
2011-05-11,100,443
2011-06-11,130,446
2011-07-11,194,506
2011-08-11,216,721
2011-09-11,200,581
2011-10-11,178,620
2011-11-11,102,303
2011-12-11,87,273
2011-13-11,87,220
2011-14-11,209,715
2011-15-11,193,424
2011-16-11,193,520
2011-17-11,163,443
2011-18-11,150,373
2011-19-11,85,288
2011-20-11,96,275
2011-21-11,180,535
2011-22-11,198,721
2011-23-11,197,539
2011-24-11,159,487
2011-25-11,167,583
2011-26-11,91,270
2011-27-11,108,350
2011-28-11,181,478
2011-29-11,218,736
2011-30-11,209,549
2011-01-12,167,333
2011-02-12,265,654
2011-03-12,106,288
2011-04-12,111,346
2011-05-12,214,518
2011-06-12,177,584
2011-07-12,210,717
2011-08-12,208,603
2011-09-12,199,573
2011-10-12,121,376
2011-11-12,108,432
2011-12-12,238,791
2011-13-12,203,565
2011-14-12,4,9
2011-15-12,183,797
2011-16-12,124,402
2011-17-12,68,287
2011-18-12,73,551
2011-19-12,169,802
2011-20-12,185,549
2011-21-12,159,885
2011-22-12,155,614
2011-23-12,115,464
2011-24-12,76,296
2011-25-12,63,156
2011-26-12,124,350
2011-27-12,138,574
2011-28-12,138,432
2011-29-12,152,437
2011-30-12,135,494
2011-31-12,86,347
2012-01-01,80,197
2012-02-01,208,639
2012-03-01,267,962
2012-04-01,221,1049
2012-05-01,205,750
2012-06-01,210,605
2012-07-01,114,372
2012-08-01,99,367
2012-09-01,363,1248
2012-10-01,326,1102
2012-11-01,354,1207
2012-12-01,346,1007
2012-13-01,302,859
2012-14-01,177,531
2012-15-01,172,501
2012-16-01,286,847
2012-17-01,273,677
2012-18-01,290,665
2012-19-01,291,672
2012-20-01,292,712
2012-21-01,140,445
2012-22-01,147,402
2012-23-01,356,937
2012-24-01,298,934
2012-25-01,222,680
2012-26-01,206,530
2012-27-01,195,569
2012-28-01,108,325
2012-29-01,211,459
2012-30-01,234,662
2012-31-01,203,551
2012-01-02,176,653
2012-02-02,179,494
2012-03-02,177,478
2012-04-02,105,294
2012-05-02,91,240
2012-06-02,211,790
2012-07-02,260,984
2012-08-02,247,768
2012-09-02,179,497
2012-10-02,195,570
2012-11-02,71,141
2012-12-02,113,305
2012-13-02,242,668
2012-14-02,186,537
2012-15-02,211,530
2012-16-02,170,517
2012-17-02,188,547
2012-18-02,95,384
2012-19-02,123,391
2012-20-02,200,523
2012-21-02,176,516
2012-22-02,203,487
2012-23-02,188,509
2012-24-02,193,894
2012-25-02,113,312
2012-26-02,96,292
2012-27-02,197,682
2012-28-02,167,453
2012-29-02,169,435
2012-01-03,72,246
2012-02-03,52,140
2012-03-03,96,371
2012-04-03,84,239
2012-05-03,170,504
2012-06-03,154,446
2012-07-03,166,465
2012-08-03,147,325
2012-09-03,135,304
2012-10-03,76,253
2012-11-03,76,150
2012-12-03,146,380
2012-13-03,143,320
2012-14-03,130,466
